Fecha	Nulo1	Nulo2	Alternado1	Alternado2	Disperso1	Disperso2	Disperso3	Disperso4
10/05/2017 15:02	0	0	1	1	5	10	50	0
10/05/2017 15:03	0	0	-1	-1	-5	-10	-50	1
10/05/2017 15:03	0	0	1	1	5	10	50	3
10/05/2017 15:04	0	0	-1	-1	-5	-10	-50	6
10/05/2017 15:04	0	0	1	1	5	10	50	10
10/05/2017 15:05	0	0	-1	-1	-5	-10	-50	15
10/05/2017 15:05	0	0	1	1	5	10	50	21
10/05/2017 15:06	0	0	-1	-1	-5	-10	-50	28
10/05/2017 15:06	0	0	1	1	5	10	50	36
10/05/2017 15:07	0	0	-1	-1	-5	-10	-50	45
10/05/2017 15:07	0	0	1	1	5	10	50	55
10/05/2017 15:08	0	0	-1	-1	-5	-10	-50	66
10/05/2017 15:08	0	0	1	1	5	10	50	78
10/05/2017 15:09	0	0	-1	-1	-5	-10	-50	91
10/05/2017 15:09	0	0	1	1	5	10	50	105
10/05/2017 15:10	0	0	-1	-1	-5	-10	-50	120
10/05/2017 15:10	0	0	1	1	5	10	50	136
10/05/2017 15:11	0	0	-1	-1	-5	-10	-50	153
10/05/2017 15:11	0	0	1	1	5	10	50	171
10/05/2017 15:12	0	0	-1	-1	-5	-10	-50	190
10/05/2017 15:12	0	0	1	1	5	10	50	210
10/05/2017 15:13	0	0	-1	-1	-5	-10	-50	231
10/05/2017 15:13	0	0	1	1	5	10	50	253
10/05/2017 15:14	0	0	-1	-1	-5	-10	-50	276
10/05/2017 15:14	0	0	1	1	5	10	50	300
10/05/2017 15:15	0	0	-1	-1	-5	-10	-50	325
10/05/2017 15:15	0	0	1	1	5	10	50	351
10/05/2017 15:16	0	0	-1	-1	-5	-10	-50	378
10/05/2017 15:16	0	0	1	1	5	10	50	406
10/05/2017 15:17	0	0	-1	-1	-5	-10	-50	435
10/05/2017 15:17	0	0	1	1	5	10	50	465
10/05/2017 15:18	0	0	-1	-1	-5	-10	-50	496
10/05/2017 15:18	0	0	1	1	5	10	50	528
10/05/2017 15:19	0	0	-1	-1	-5	-10	-50	561
10/05/2017 15:19	0	0	1	1	5	10	50	595
10/05/2017 15:20	0	0	-1	-1	-5	-10	-50	630
10/05/2017 15:20	0	0	1	1	5	10	50	666
10/05/2017 15:21	0	0	-1	-1	-5	-10	-50	703
10/05/2017 15:21	0	0	1	1	5	10	50	741
10/05/2017 15:22	0	0	-1	-1	-5	-10	-50	780
10/05/2017 15:22	0	0	1	1	5	10	50	820
10/05/2017 15:23	0	0	-1	-1	-5	-10	-50	861
10/05/2017 15:23	0	0	1	1	5	10	50	903
10/05/2017 15:24	0	0	-1	-1	-5	-10	-50	946
10/05/2017 15:24	0	0	1	1	5	10	50	990
10/05/2017 15:25	0	0	-1	-1	-5	-10	-50	1035
10/05/2017 15:25	0	0	1	1	5	10	50	1081
10/05/2017 15:26	0	0	-1	-1	-5	-10	-50	1128
10/05/2017 15:26	0	0	1	1	5	10	50	1176
10/05/2017 15:27	0	0	-1	-1	-5	-10	-50	1225
10/05/2017 15:27	0	0	1	1	5	10	50	1275
10/05/2017 15:28	0	0	-1	-1	-5	-10	-50	1326
10/05/2017 15:28	0	0	1	1	5	10	50	1378
10/05/2017 15:29	0	0	-1	-1	-5	-10	-50	1431
10/05/2017 15:29	0	0	1	1	5	10	50	1485
10/05/2017 15:30	0	0	-1	-1	-5	-10	-50	1540
10/05/2017 15:30	0	0	1	1	5	10	50	1596
10/05/2017 15:31	0	0	-1	-1	-5	-10	-50	1653
10/05/2017 15:31	0	0	1	1	5	10	50	1711
10/05/2017 15:32	0	0	-1	-1	-5	-10	-50	1770
10/05/2017 15:32	0	0	1	1	5	10	50	1830
10/05/2017 15:33	0	0	-1	-1	-5	-10	-50	1891
10/05/2017 15:33	0	0	1	1	5	10	50	1953
10/05/2017 15:34	0	0	-1	-1	-5	-10	-50	2016
10/05/2017 15:34	0	0	1	1	5	10	50	2080
10/05/2017 15:35	0	0	-1	-1	-5	-10	-50	2145
10/05/2017 15:35	0	0	1	1	5	10	50	2211
10/05/2017 15:36	0	0	-1	-1	-5	-10	-50	2278
10/05/2017 15:36	0	0	1	1	5	10	50	2346
10/05/2017 15:37	0	0	-1	-1	-5	-10	-50	2415
10/05/2017 15:37	0	0	1	1	5	10	50	2485
10/05/2017 15:38	0	0	-1	-1	-5	-10	-50	2556
10/05/2017 15:38	0	0	1	1	5	10	50	2628
10/05/2017 15:39	0	0	-1	-1	-5	-10	-50	2701
10/05/2017 15:39	0	0	1	1	5	10	50	2775
10/05/2017 15:40	0	0	-1	-1	-5	-10	-50	2850
10/05/2017 15:40	0	0	1	1	5	10	50	2926
10/05/2017 15:41	0	0	-1	-1	-5	-10	-50	3003
10/05/2017 15:41	0	0	1	1	5	10	50	3081
10/05/2017 15:42	0	0	-1	-1	-5	-10	-50	3160
10/05/2017 15:42	0	0	1	1	5	10	50	3240
10/05/2017 15:43	0	0	-1	-1	-5	-10	-50	3321
10/05/2017 15:43	0	0	1	1	5	10	50	3403
10/05/2017 15:44	0	0	-1	-1	-5	-10	-50	3486
10/05/2017 15:44	0	0	1	1	5	10	50	3570
10/05/2017 15:45	0	0	-1	-1	-5	-10	-50	3655
10/05/2017 15:45	0	0	1	1	5	10	50	3741
10/05/2017 15:46	0	0	-1	-1	-5	-10	-50	3828
